,Codes,Titles,Total Marketable US Businesses,code_len
312,333618,Other Engine Equipment Manufacturing,879,6
313,3339,Other General Purpose Machinery Manufacturing,14657,4
314,333912,Air and Gas Compressor Manufacturing,690,6
315,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",1518,6
316,333921,Elevator and Moving Stairway Manufacturing,359,6
317,333922,Conveyor and Conveying Equipment Manufacturing,1112,6
318,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",751,6
319,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",1831,6
320,333991,Power-Driven Handtool Manufacturing,391,6
321,333992,Welding and Soldering Equipment Manufacturing,487,6
322,333993,Packaging Machinery Manufacturing,878,6
323,333994,Industrial Process Furnace and Oven Manufacturing,582,6
324,333995,Fluid Power Cylinder and Actuator Manufacturing,193,6
325,333996,Fluid Power Pump and Motor Manufacturing,320,6
326,333997,Scale and Balance Manufacturing,269,6
327,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,5276,6
328,3341,Computer and Peripheral Equipment Manufacturing,5242,4
329,334111,Electronic Computer Manufacturing,1625,6
330,334112,Computer Storage Device Manufacturing,946,6
331,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,2671,6
332,3342,Communications Equipment Manufacturing,5708,4
333,334210,Telephone Apparatus Manufacturing,1206,6
334,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,3205,6
335,334290,Other Communications Equipment Manufacturing,1297,6
336,3343,Audio and Video Equipment Manufacturing,1873,4
337,334310,Audio and Video Equipment Manufacturing,1873,6
338,3344,Semiconductor and Other Electronic Component Manufacturing,9761,4
339,334412,Bare Printed Circuit Board Manufacturing,269,6
340,334413,Semiconductor and Related Device Manufacturing,3825,6
341,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",721,6
342,334417,Electronic Connector Manufacturing,464,6
343,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,1246,6
344,334419,Other Electronic Component Manufacturing,3236,6
345,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",17533,4
